TOAN,NGU VAN,TIENG ANH,LICH SU,DIA LI,GDCD,NAM
8.2,5.5,,,,,2017
8.8,6.75,,,,,2017
8.8,7.5,,,,,2017
9.4,5.75,,,,,2017
8.4,4.5,,,,,2017
9,6,,,,,2017
,,9.8,,,,2017
8.8,3.75,,,,,2017
8.6,7.25,,,,,2017
8.6,7,,,,,2017
7.6,7.25,,,,,2017
8.8,7.75,,,,,2017
9,5.5,,,,,2017
8,7,,,,,2017
8.8,6.25,,,,,2017
8.2,7.5,,,,,2017
9.6,5.5,5.8,,,,2017
9.4,6.25,,,,,2017
7.8,5,,,,,2017
9.6,6.5,,,,,2017
7.6,5.5,,,,,2017
8.6,7.75,,,,,2017
8.2,6,,,,,2017
9.4,6.75,,,,,2017
8.2,8.25,,,,,2017
9,8.5,,,,,2017
2.8,6.5,,,7.5,,2017
2.8,4.25,,,6,,2017
7.8,7.5,,,5.75,7.25,2017
4.4,7.75,4.8,,,,2017
7.2,5.75,,,,,2017
5.4,7,5.8,,,,2017
8.2,4.5,,,,,2017
8.2,5.5,,,,,2017
8,7,,,,,2017
7.8,8.5,,,,,2017
4.4,4.5,,,3.25,,2017
8.6,6.75,9.6,,,,2017
3.6,7.5,,,,,2017
2.4,5.5,,,,,2017
2.8,4,,,7.5,,2017
2.6,3.5,,,3.25,,2017
3,6.25,,,8,,2017
3.4,4.25,,,5,,2017
3.4,6,,,4.25,,2017
3.6,3.5,,,3.25,,2017
4.6,4.25,,,7.75,,2017
3.2,3.75,,,2.75,,2017
2.8,5.75,,,5.25,,2017
3.4,5.25,,,6.75,,2017
3.8,5,,,2.75,,2017
3.8,4.5,,,5.25,,2017
4,4.75,,,6.25,,2017
3.4,2.75,,,4.5,,2017
2.2,4.75,,,3.75,,2017
4,4.25,,,5.75,,2017
2.6,5,,,6.75,,2017
2.4,2,,,6.25,4.75,2017
3,5.75,,,4.5,,2017
2.6,6,,,4.25,,2017
3.2,4,,,4.5,,2017
